File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/438.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_67
Injection Number	60
Position	RE11
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:41:20
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.747323
Signal Max.	6.720137
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-112.059885
0.008167	0.25	-112.056100
0.012333	0.25	-112.050493
0.016500	0.25	-112.050852
0.020667	0.25	-112.055755
0.024833	0.25	-112.054397
0.029000	0.25	-112.050926
0.033167	0.25	-112.055147
0.037333	0.25	-112.055194
0.041500	0.25	-112.058923
0.045667	0.25	-112.063706
0.049833	0.25	-112.060086
0.054000	0.25	-112.051146
0.058167	0.25	-112.050099
0.062333	0.25	-112.056333
0.066500	0.25	-112.057837
0.070667	0.25	-112.045811
0.074833	0.25	-112.057104
0.079000	0.25	-112.049555
0.083167	0.25	-112.051209
0.087333	0.25	-112.060796
0.091500	0.25	-112.059260
0.095667	0.25	-112.060839
0.099833	0.25	-112.051174
0.104000	0.25	-112.060996
0.108167	0.25	-112.053854
0.112333	0.25	-112.054185
0.116500	0.25	-112.058101
0.120667	0.25	-112.056442
0.124833	0.25	-112.061948
0.129000	0.25	-112.061886
0.133167	0.25	-112.058805
0.137333	0.25	-112.057213
0.141500	0.25	-112.055716
0.145667	0.25	-112.063823
0.149833	0.25	-112.063472
0.154000	0.25	-112.066278
0.158167	0.25	-112.068013
0.162333	0.25	-112.068711
0.166500	0.25	-112.074835
0.170667	0.25	-112.074579
0.174833	0.25	-112.073859
0.179000	0.25	-112.076044
0.183167	0.25	-112.071489
0.187333	0.25	-112.075720
0.191500	0.25	-112.065489
0.195667	0.25	-112.071628
0.199833	0.25	-112.075807
0.204000	0.25	-112.079829
0.208167	0.25	-112.067784
0.212333	0.25	-112.068714
0.216500	0.25	-112.061516
0.220667	0.25	-112.059941
0.224833	0.25	-112.073015
0.229000	0.25	-112.066799
0.233167	0.25	-112.072606
0.237333	0.25	-112.063881
0.241500	0.25	-112.066670
0.245667	0.25	-112.057290
0.249833	0.25	-112.065338
0.254000	0.25	-112.063313
0.258167	0.25	-112.054710
0.262333	0.25	-112.058065
