File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/798.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_66
Injection Number	66
Position	RF5
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	10:17:34
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.279533
Signal Max.	20.640003
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.629000	0.25	-111.410774
0.633167	0.25	-111.299755
0.637333	0.25	-111.127054
0.641500	0.25	-110.823112
0.645667	0.25	-110.334878
0.649833	0.25	-109.570914
0.654000	0.25	-108.499684
0.658167	0.25	-107.155212
0.662333	0.25	-105.608725
0.666500	0.25	-104.012748
0.670667	0.25	-102.498331
0.674833	0.25	-101.201322
0.679000	0.25	-100.185635
0.683167	0.25	-99.516838
0.687333	0.25	-99.180760
0.691500	0.25	-99.174605
0.695667	0.25	-99.449210
0.699833	0.25	-99.908932
0.704000	0.25	-100.443685
0.708167	0.25	-100.983927
0.712333	0.25	-101.496010
0.716500	0.25	-101.950890
0.720667	0.25	-102.370017
0.724833	0.25	-102.792553
0.729000	0.25	-103.225565
0.733167	0.25	-103.693409
0.737333	0.25	-104.193373
0.741500	0.25	-104.696386
0.745667	0.25	-105.188028
0.749833	0.25	-105.666365
0.754000	0.25	-106.099424
0.758167	0.25	-106.500330
0.762333	0.25	-106.853319
0.766500	0.25	-107.173641
0.770667	0.25	-107.432906
0.774833	0.25	-107.649045
0.779000	0.25	-107.803473
0.783167	0.25	-107.903718
0.787333	0.25	-107.958486
0.791500	0.25	-107.997829
0.795667	0.25	-108.010602
0.799833	0.25	-108.019840
0.804000	0.25	-108.051796
0.808167	0.25	-108.097661
0.812333	0.25	-108.185852
0.816500	0.25	-108.283677
0.820667	0.25	-108.406572
0.824833	0.25	-108.572245
0.829000	0.25	-108.737216
0.833167	0.25	-108.924694
0.837333	0.25	-109.113986
0.841500	0.25	-109.296088
0.845667	0.25	-109.474544
0.849833	0.25	-109.649022
0.854000	0.25	-109.804384
0.858167	0.25	-109.948828
0.862333	0.25	-110.078585
0.866500	0.25	-110.201091
0.870667	0.25	-110.310074
0.874833	0.25	-110.382344
0.879000	0.25	-110.448385
0.883167	0.25	-110.466605
0.887333	0.25	-110.463804
0.891500	0.25	-110.422168
0.895667	0.25	-110.346521
0.899833	0.25	-110.259450
0.904000	0.25	-110.188527
0.908167	0.25	-110.145550
0.912333	0.25	-110.133383
0.916500	0.25	-110.165622
0.920667	0.25	-110.247358
0.924833	0.25	-110.352506
0.929000	0.25	-110.458944
0.933167	0.25	-110.578256
0.937333	0.25	-110.683031
0.941500	0.25	-110.785706
0.945667	0.25	-110.858902
0.949833	0.25	-110.929819
0.954000	0.25	-110.976415
0.958167	0.25	-111.015956
0.962333	0.25	-111.036287
0.966500	0.25	-111.007443
0.970667	0.25	-110.872164
0.974833	0.25	-110.578204
0.979000	0.25	-110.027190
0.983167	0.25	-109.154357
0.987333	0.25	-107.983980
0.991500	0.25	-106.575375
0.995667	0.25	-105.066029
0.999833	0.25	-103.605995
1.004000	0.25	-102.333219
1.008167	0.25	-101.358685
1.012333	0.25	-100.755559
1.016500	0.25	-100.508718
1.020667	0.25	-100.616462
1.024833	0.25	-101.013843
1.029000	0.25	-101.642556
1.033167	0.25	-102.425858
