File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/862.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_44
Injection Number	58
Position	RE8
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	05:29:24
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.960988
Signal Max.	0.634388
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-112.200281
0.008167	0.25	-112.196962
0.012333	0.25	-112.197103
0.016500	0.25	-112.198000
0.020667	0.25	-112.202364
0.024833	0.25	-112.198270
0.029000	0.25	-112.198490
0.033167	0.25	-112.201386
0.037333	0.25	-112.196727
0.041500	0.25	-112.204576
0.045667	0.25	-112.189922
0.049833	0.25	-112.195873
0.054000	0.25	-112.191890
0.058167	0.25	-112.198404
0.062333	0.25	-112.198231
0.066500	0.25	-112.192299
0.070667	0.25	-112.194584
0.074833	0.25	-112.196414
0.079000	0.25	-112.200841
0.083167	0.25	-112.195487
0.087333	0.25	-112.201007
0.091500	0.25	-112.193306
0.095667	0.25	-112.200738
0.099833	0.25	-112.187685
0.104000	0.25	-112.192460
0.108167	0.25	-112.193763
0.112333	0.25	-112.192974
0.116500	0.25	-112.187553
0.120667	0.25	-112.188200
0.124833	0.25	-112.197660
0.129000	0.25	-112.196474
0.133167	0.25	-112.196592
0.137333	0.25	-112.197240
0.141500	0.25	-112.190943
0.145667	0.25	-112.192576
0.149833	0.25	-112.209649
0.154000	0.25	-112.208798
0.158167	0.25	-112.207364
0.162333	0.25	-112.203848
0.166500	0.25	-112.207593
0.170667	0.25	-112.197249
0.174833	0.25	-112.196317
0.179000	0.25	-112.201821
0.183167	0.25	-112.202540
0.187333	0.25	-112.203348
0.191500	0.25	-112.203170
0.195667	0.25	-112.207386
0.199833	0.25	-112.209333
0.204000	0.25	-112.207457
0.208167	0.25	-112.216207
0.212333	0.25	-112.205311
0.216500	0.25	-112.199312
0.220667	0.25	-112.204675
0.224833	0.25	-112.208511
0.229000	0.25	-112.208042
0.233167	0.25	-112.204925
0.237333	0.25	-112.212103
0.241500	0.25	-112.202828
0.245667	0.25	-112.209596
0.249833	0.25	-112.207274
0.254000	0.25	-112.215761
0.258167	0.25	-112.206130
0.262333	0.25	-112.205785
0.266500	0.25	-112.201908
0.270667	0.25	-112.202739
0.274833	0.25	-112.199823
0.279000	0.25	-112.200981
0.283167	0.25	-112.199787
0.287333	0.25	-112.197507
0.291500	0.25	-112.211631
0.295667	0.25	-112.217920
0.299833	0.25	-112.206175
0.304000	0.25	-112.204756
0.308167	0.25	-112.210814
0.312333	0.25	-112.199033
0.316500	0.25	-112.207659
0.320667	0.25	-112.205856
0.324833	0.25	-112.209106
0.329000	0.25	-112.200517
0.333167	0.25	-112.210230
0.337333	0.25	-112.197865
0.341500	0.25	-112.198149
0.345667	0.25	-112.204387
0.349833	0.25	-112.204852
0.354000	0.25	-112.194885
0.358167	0.25	-112.197573
0.362333	0.25	-112.204643
0.366500	0.25	-112.198899
0.370667	0.25	-112.199587
0.374833	0.25	-112.188382
0.379000	0.25	-112.206093
0.383167	0.25	-112.202142
0.387333	0.25	-112.205191
0.391500	0.25	-112.210590
0.395667	0.25	-112.205756
0.399833	0.25	-112.210289
0.404000	0.25	-112.198801
0.408167	0.25	-112.206717
0.412333	0.25	-112.204680
0.416500	0.25	-112.212896
0.420667	0.25	-112.214110
0.424833	0.25	-112.216854
0.429000	0.25	-112.216805
0.433167	0.25	-112.223461
0.437333	0.25	-112.220380
0.441500	0.25	-112.225312
0.445667	0.25	-112.221258
0.449833	0.25	-112.223651
0.454000	0.25	-112.220682
0.458167	0.25	-112.213349
0.462333	0.25	-112.209769
0.466500	0.25	-112.203667
0.470667	0.25	-112.202161
0.474833	0.25	-112.201786
0.479000	0.25	-112.194966
0.483167	0.25	-112.183083
0.487333	0.25	-112.189132
0.491500	0.25	-112.180962
0.495667	0.25	-112.174604
0.499833	0.25	-112.172818
0.504000	0.25	-112.178289
0.508167	0.25	-112.176051
0.512333	0.25	-112.174863
0.516500	0.25	-112.177897
0.520667	0.25	-112.182384
0.524833	0.25	-112.174949
0.529000	0.25	-112.178732
0.533167	0.25	-112.169859
0.537333	0.25	-112.168916
0.541500	0.25	-112.175598
0.545667	0.25	-112.175188
0.549833	0.25	-112.179966
0.554000	0.25	-112.176122
0.558167	0.25	-112.178886
0.562333	0.25	-112.173128
0.566500	0.25	-112.183002
0.570667	0.25	-112.186240
0.574833	0.25	-112.187886
0.579000	0.25	-112.189158
0.583167	0.25	-112.186665
0.587333	0.25	-112.191310
0.591500	0.25	-112.190364
0.595667	0.25	-112.189864
0.599833	0.25	-112.181927
0.604000	0.25	-112.177792
0.608167	0.25	-112.182492
0.612333	0.25	-112.169789
0.616500	0.25	-112.151056
0.620667	0.25	-112.138938
0.624833	0.25	-112.098304
0.629000	0.25	-112.058302
0.633167	0.25	-111.985887
0.637333	0.25	-111.860538
0.641500	0.25	-111.671740
0.645667	0.25	-111.347232
0.649833	0.25	-110.809726
0.654000	0.25	-110.026167
0.658167	0.25	-108.961749
0.662333	0.25	-107.676048
0.666500	0.25	-106.261677
0.670667	0.25	-104.855842
0.674833	0.25	-103.582455
0.679000	0.25	-102.548225
0.683167	0.25	-101.780502
0.687333	0.25	-101.304280
0.691500	0.25	-101.120613
0.695667	0.25	-101.201236
0.699833	0.25	-101.463910
0.704000	0.25	-101.855638
0.708167	0.25	-102.284685
0.712333	0.25	-102.713216
0.716500	0.25	-103.120311
0.720667	0.25	-103.475866
0.724833	0.25	-103.816684
0.729000	0.25	-104.172199
0.733167	0.25	-104.543688
0.737333	0.25	-104.913683
0.741500	0.25	-105.299258
0.745667	0.25	-105.680103
0.749833	0.25	-106.047951
0.754000	0.25	-106.407717
0.758167	0.25	-106.753414
0.762333	0.25	-107.093411
0.766500	0.25	-107.393907
0.770667	0.25	-107.693011
0.774833	0.25	-107.958596
0.779000	0.25	-108.208417
0.783167	0.25	-108.431469
0.787333	0.25	-108.635650
0.791500	0.25	-108.816144
0.795667	0.25	-108.973807
0.799833	0.25	-109.105198
0.804000	0.25	-109.210292
0.808167	0.25	-109.294916
0.812333	0.25	-109.366824
0.816500	0.25	-109.444499
0.820667	0.25	-109.515671
0.824833	0.25	-109.587892
0.829000	0.25	-109.695101
0.833167	0.25	-109.827770
0.837333	0.25	-109.943719
0.841500	0.25	-110.073365
0.845667	0.25	-110.200039
0.849833	0.25	-110.337436
0.854000	0.25	-110.467620
0.858167	0.25	-110.596514
0.862333	0.25	-110.711698
0.866500	0.25	-110.829185
0.870667	0.25	-110.923853
0.874833	0.25	-111.023070
0.879000	0.25	-111.090475
0.883167	0.25	-111.141977
0.887333	0.25	-111.158947
0.891500	0.25	-111.120781
0.895667	0.25	-111.077192
0.899833	0.25	-111.001908
0.904000	0.25	-110.908655
0.908167	0.25	-110.824721
0.912333	0.25	-110.765893
0.916500	0.25	-110.761296
0.920667	0.25	-110.799371
0.924833	0.25	-110.892094
0.929000	0.25	-111.002592
0.933167	0.25	-111.139575
0.937333	0.25	-111.277162
0.941500	0.25	-111.395536
0.945667	0.25	-111.501921
0.949833	0.25	-111.580720
0.954000	0.25	-111.662089
0.958167	0.25	-111.712988
0.962333	0.25	-111.763443
0.966500	0.25	-111.777514
0.970667	0.25	-111.764392
0.974833	0.25	-111.688321
0.979000	0.25	-111.476516
0.983167	0.25	-111.041114
0.987333	0.25	-110.348911
0.991500	0.25	-109.373498
0.995667	0.25	-108.171232
0.999833	0.25	-106.846942
1.004000	0.25	-105.525009
1.008167	0.25	-104.331348
1.012333	0.25	-103.389696
1.016500	0.25	-102.769377
1.020667	0.25	-102.471180
1.024833	0.25	-102.494898
1.029000	0.25	-102.792060
1.033167	0.25	-103.310007
1.037333	0.25	-103.983708
1.041500	0.25	-104.729524
1.045667	0.25	-105.503232
1.049833	0.25	-106.260108
1.054000	0.25	-106.957745
1.058167	0.25	-107.574027
1.062333	0.25	-108.082143
1.066500	0.25	-108.487029
1.070667	0.25	-108.786015
1.074833	0.25	-109.001123
1.079000	0.25	-109.157318
1.083167	0.25	-109.274121
1.087333	0.25	-109.380431
1.091500	0.25	-109.484257
1.095667	0.25	-109.599644
1.099833	0.25	-109.729322
1.104000	0.25	-109.863791
1.108167	0.25	-110.019902
1.112333	0.25	-110.178018
1.116500	0.25	-110.336727
1.120667	0.25	-110.500448
