File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/952.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_58
Injection Number	64
Position	RF3
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	09:05:29
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.400595
Signal Max.	35.387034
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-111.738715
0.008167	0.25	-111.743857
0.012333	0.25	-111.735894
0.016500	0.25	-111.741900
0.020667	0.25	-111.738294
0.024833	0.25	-111.740427
0.029000	0.25	-111.740868
0.033167	0.25	-111.740960
0.037333	0.25	-111.742196
0.041500	0.25	-111.738235
0.045667	0.25	-111.738738
0.049833	0.25	-111.750745
0.054000	0.25	-111.742589
0.058167	0.25	-111.732707
0.062333	0.25	-111.735442
0.066500	0.25	-111.734862
0.070667	0.25	-111.745442
0.074833	0.25	-111.748268
0.079000	0.25	-111.738290
0.083167	0.25	-111.752120
0.087333	0.25	-111.747359
0.091500	0.25	-111.735733
0.095667	0.25	-111.738908
0.099833	0.25	-111.743387
0.104000	0.25	-111.747036
0.108167	0.25	-111.735044
0.112333	0.25	-111.740516
0.116500	0.25	-111.746923
0.120667	0.25	-111.745854
0.124833	0.25	-111.744000
0.129000	0.25	-111.742052
0.133167	0.25	-111.748184
0.137333	0.25	-111.743043
0.141500	0.25	-111.738049
0.145667	0.25	-111.745427
0.149833	0.25	-111.746606
0.154000	0.25	-111.746772
0.158167	0.25	-111.752958
0.162333	0.25	-111.751291
0.166500	0.25	-111.753582
0.170667	0.25	-111.751714
0.174833	0.25	-111.746826
0.179000	0.25	-111.750262
0.183167	0.25	-111.757607
0.187333	0.25	-111.755329
0.191500	0.25	-111.756851
0.195667	0.25	-111.759833
0.199833	0.25	-111.756406
0.204000	0.25	-111.760738
0.208167	0.25	-111.762661
0.212333	0.25	-111.757062
0.216500	0.25	-111.763663
0.220667	0.25	-111.753860
0.224833	0.25	-111.756281
0.229000	0.25	-111.750610
0.233167	0.25	-111.750363
0.237333	0.25	-111.760592
0.241500	0.25	-111.753482
0.245667	0.25	-111.755308
0.249833	0.25	-111.752857
0.254000	0.25	-111.738644
0.258167	0.25	-111.749616
0.262333	0.25	-111.746198
0.266500	0.25	-111.748118
0.270667	0.25	-111.748805
0.274833	0.25	-111.759586
0.279000	0.25	-111.753885
0.283167	0.25	-111.749172
0.287333	0.25	-111.757411
0.291500	0.25	-111.749354
0.295667	0.25	-111.760522
0.299833	0.25	-111.759055
0.304000	0.25	-111.763041
0.308167	0.25	-111.760326
0.312333	0.25	-111.762977
0.316500	0.25	-111.751214
0.320667	0.25	-111.763409
0.324833	0.25	-111.759892
0.329000	0.25	-111.752173
0.333167	0.25	-111.754880
0.337333	0.25	-111.755116
0.341500	0.25	-111.763069
0.345667	0.25	-111.748028
0.349833	0.25	-111.755175
0.354000	0.25	-111.748104
0.358167	0.25	-111.756675
0.362333	0.25	-111.745526
0.366500	0.25	-111.741855
0.370667	0.25	-111.739956
0.374833	0.25	-111.737237
0.379000	0.25	-111.741641
0.383167	0.25	-111.741927
0.387333	0.25	-111.748559
0.391500	0.25	-111.742850
0.395667	0.25	-111.744738
0.399833	0.25	-111.744109
0.404000	0.25	-111.749677
0.408167	0.25	-111.755954
0.412333	0.25	-111.759819
0.416500	0.25	-111.756092
0.420667	0.25	-111.753688
0.424833	0.25	-111.747484
0.429000	0.25	-111.755874
0.433167	0.25	-111.759402
0.437333	0.25	-111.751528
0.441500	0.25	-111.753512
0.445667	0.25	-111.756684
0.449833	0.25	-111.755614
0.454000	0.25	-111.753200
0.458167	0.25	-111.752488
0.462333	0.25	-111.749316
0.466500	0.25	-111.756993
0.470667	0.25	-111.744590
0.474833	0.25	-111.740861
0.479000	0.25	-111.748818
0.483167	0.25	-111.740709
0.487333	0.25	-111.743076
0.491500	0.25	-111.737798
0.495667	0.25	-111.743325
0.499833	0.25	-111.744235
0.504000	0.25	-111.740303
0.508167	0.25	-111.738979
0.512333	0.25	-111.732765
0.516500	0.25	-111.737373
0.520667	0.25	-111.732617
0.524833	0.25	-111.742521
0.529000	0.25	-111.748902
0.533167	0.25	-111.742647
0.537333	0.25	-111.747839
0.541500	0.25	-111.745102
0.545667	0.25	-111.757453
0.549833	0.25	-111.742229
0.554000	0.25	-111.749026
0.558167	0.25	-111.744133
0.562333	0.25	-111.739925
0.566500	0.25	-111.748571
0.570667	0.25	-111.741386
0.574833	0.25	-111.747122
0.579000	0.25	-111.737507
0.583167	0.25	-111.733866
0.587333	0.25	-111.733978
0.591500	0.25	-111.739529
0.595667	0.25	-111.737190
0.599833	0.25	-111.735736
0.604000	0.25	-111.723409
0.608167	0.25	-111.724830
0.612333	0.25	-111.712430
0.616500	0.25	-111.688916
0.620667	0.25	-111.661661
0.624833	0.25	-111.612339
0.629000	0.25	-111.548420
0.633167	0.25	-111.429505
0.637333	0.25	-111.265739
0.641500	0.25	-110.972726
0.645667	0.25	-110.495559
0.649833	0.25	-109.746346
0.654000	0.25	-108.674814
0.658167	0.25	-107.259542
0.662333	0.25	-105.627827
0.666500	0.25	-103.876001
0.670667	0.25	-102.176793
0.674833	0.25	-100.658316
0.679000	0.25	-99.459798
0.683167	0.25	-98.611043
0.687333	0.25	-98.140142
0.691500	0.25	-98.057879
0.695667	0.25	-98.278668
0.699833	0.25	-98.703606
0.704000	0.25	-99.213324
0.708167	0.25	-99.715046
0.712333	0.25	-100.156285
0.716500	0.25	-100.526160
0.720667	0.25	-100.883991
0.724833	0.25	-101.307281
0.729000	0.25	-101.810228
0.733167	0.25	-102.413428
0.737333	0.25	-103.053936
0.741500	0.25	-103.738064
0.745667	0.25	-104.389851
0.749833	0.25	-105.010401
0.754000	0.25	-105.571036
0.758167	0.25	-106.079768
0.762333	0.25	-106.502307
0.766500	0.25	-106.879034
0.770667	0.25	-107.194514
0.774833	0.25	-107.443467
0.779000	0.25	-107.621017
0.783167	0.25	-107.733283
0.787333	0.25	-107.788136
0.791500	0.25	-107.814549
0.795667	0.25	-107.809473
0.799833	0.25	-107.800198
0.804000	0.25	-107.808281
0.808167	0.25	-107.836557
0.812333	0.25	-107.899425
0.816500	0.25	-108.011182
0.820667	0.25	-108.152049
0.824833	0.25	-108.322512
0.829000	0.25	-108.528733
0.833167	0.25	-108.748983
0.837333	0.25	-108.965008
0.841500	0.25	-109.183705
0.845667	0.25	-109.387481
0.849833	0.25	-109.581659
0.854000	0.25	-109.765442
0.858167	0.25	-109.930909
0.862333	0.25	-110.083830
0.866500	0.25	-110.222381
0.870667	0.25	-110.335901
0.874833	0.25	-110.443518
0.879000	0.25	-110.518984
0.883167	0.25	-110.554877
0.887333	0.25	-110.562618
0.891500	0.25	-110.530109
0.895667	0.25	-110.459509
0.899833	0.25	-110.386669
0.904000	0.25	-110.302990
0.908167	0.25	-110.251864
0.912333	0.25	-110.236377
0.916500	0.25	-110.269023
0.920667	0.25	-110.336482
0.924833	0.25	-110.438222
0.929000	0.25	-110.555779
0.933167	0.25	-110.666658
0.937333	0.25	-110.776001
0.941500	0.25	-110.881614
0.945667	0.25	-110.954004
0.949833	0.25	-111.031719
0.954000	0.25	-111.087575
0.958167	0.25	-111.128201
0.962333	0.25	-111.154711
0.966500	0.25	-111.121194
0.970667	0.25	-110.975334
0.974833	0.25	-110.638874
0.979000	0.25	-110.015704
0.983167	0.25	-109.050468
0.987333	0.25	-107.748936
0.991500	0.25	-106.178798
0.995667	0.25	-104.489230
0.999833	0.25	-102.859618
1.004000	0.25	-101.432069
1.008167	0.25	-100.335219
1.012333	0.25	-99.648594
1.016500	0.25	-99.366488
1.020667	0.25	-99.483920
1.024833	0.25	-99.931707
1.029000	0.25	-100.641768
1.033167	0.25	-101.505023
1.037333	0.25	-102.469279
1.041500	0.25	-103.455428
1.045667	0.25	-104.404293
1.049833	0.25	-105.266620
1.054000	0.25	-106.021821
1.058167	0.25	-106.665852
1.062333	0.25	-107.181808
1.066500	0.25	-107.599983
1.070667	0.25	-107.937227
1.074833	0.25	-108.217409
1.079000	0.25	-108.446076
1.083167	0.25	-108.640263
1.087333	0.25	-108.846446
1.091500	0.25	-109.040893
1.095667	0.25	-109.231671
1.099833	0.25	-109.423641
1.104000	0.25	-109.605014
1.108167	0.25	-109.786730
1.112333	0.25	-109.960056
1.116500	0.25	-110.120960
1.120667	0.25	-110.267887
1.124833	0.25	-110.405240
1.129000	0.25	-110.510498
1.133167	0.25	-110.615382
1.137333	0.25	-110.678253
1.141500	0.25	-110.728218
1.145667	0.25	-110.771613
1.149833	0.25	-110.797246
1.154000	0.25	-110.827924
1.158167	0.25	-110.847809
1.162333	0.25	-110.863545
1.166500	0.25	-110.888504
1.170667	0.25	-110.913122
1.174833	0.25	-110.943399
1.179000	0.25	-110.975996
1.183167	0.25	-111.004441
1.187333	0.25	-111.037257
1.191500	0.25	-111.060231
1.195667	0.25	-111.074550
1.199833	0.25	-111.085842
1.204000	0.25	-111.082095
1.208167	0.25	-111.088589
1.212333	0.25	-111.069674
1.216500	0.25	-111.058875
1.220667	0.25	-111.040914
1.224833	0.25	-111.014472
1.229000	0.25	-110.995071
1.233167	0.25	-110.971744
1.237333	0.25	-110.969380
1.241500	0.25	-110.946488
1.245667	0.25	-110.936786
1.249833	0.25	-110.897396
1.254000	0.25	-110.866164
1.258167	0.25	-110.768128
1.262333	0.25	-110.639839
1.266500	0.25	-110.466139
1.270667	0.25	-110.227589
1.274833	0.25	-109.936515
1.279000	0.25	-109.629777
1.283167	0.25	-109.326106
1.287333	0.25	-109.051022
1.291500	0.25	-108.805216
1.295667	0.25	-108.628874
1.299833	0.25	-108.512688
1.304000	0.25	-108.459326
1.308167	0.25	-108.478140
1.312333	0.25	-108.547692
1.316500	0.25	-108.669107
1.320667	0.25	-108.813547
1.324833	0.25	-108.998035
1.329000	0.25	-109.204890
1.333167	0.25	-109.405903
1.337333	0.25	-109.608154
1.341500	0.25	-109.806440
1.345667	0.25	-110.008277
1.349833	0.25	-110.195728
1.354000	0.25	-110.370360
1.358167	0.25	-110.527202
1.362333	0.25	-110.652530
1.366500	0.25	-110.764594
1.370667	0.25	-110.850484
1.374833	0.25	-110.930206
1.379000	0.25	-110.974287
1.383167	0.25	-111.009565
1.387333	0.25	-111.036140
1.391500	0.25	-111.049141
1.395667	0.25	-111.066231
1.399833	0.25	-111.069269
1.404000	0.25	-111.083376
1.408167	0.25	-111.094536
1.412333	0.25	-111.123238
1.416500	0.25	-111.141770
1.420667	0.25	-111.160143
1.424833	0.25	-111.181524
1.429000	0.25	-111.211789
1.433167	0.25	-111.233590
1.437333	0.25	-111.252936
1.441500	0.25	-111.277145
1.445667	0.25	-111.292848
1.449833	0.25	-111.309362
1.454000	0.25	-111.319595
1.458167	0.25	-111.339629
1.462333	0.25	-111.350960
1.466500	0.25	-111.356169
1.470667	0.25	-111.365072
1.474833	0.25	-111.366537
1.479000	0.25	-111.387589
1.483167	0.25	-111.406638
1.487333	0.25	-111.417699
1.491500	0.25	-111.432458
1.495667	0.25	-111.439534
1.499833	0.25	-111.450235
1.504000	0.25	-111.458964
1.508167	0.25	-111.467927
1.512333	0.25	-111.469670
1.516500	0.25	-111.473188
1.520667	0.25	-111.479229
1.524833	0.25	-111.480261
1.529000	0.25	-111.481595
1.533167	0.25	-111.472154
1.537333	0.25	-111.481852
1.541500	0.25	-111.477501
1.545667	0.25	-111.470991
1.549833	0.25	-111.466214
1.554000	0.25	-111.457120
1.558167	0.25	-111.460930
1.562333	0.25	-111.461094
1.566500	0.25	-111.466867
1.570667	0.25	-111.467520
1.574833	0.25	-111.471367
1.579000	0.25	-111.473766
1.583167	0.25	-111.481860
1.587333	0.25	-111.484550
1.591500	0.25	-111.476769
1.595667	0.25	-111.470206
1.599833	0.25	-111.447246
1.604000	0.25	-111.388407
1.608167	0.25	-111.262084
1.612333	0.25	-111.021331
1.616500	0.25	-110.558776
1.620667	0.25	-109.676735
1.624833	0.25	-108.089506
1.629000	0.25	-105.446686
1.633167	0.25	-101.336376
1.637333	0.25	-95.403595
1.641500	0.25	-87.405280
1.645667	0.25	-77.297752
1.649833	0.25	-65.218544
1.654000	0.25	-51.569544
1.658167	0.25	-36.889133
1.662333	0.25	-21.883688
1.666500	0.25	-7.361831
1.670667	0.25	5.920014
1.674833	0.25	17.262963
1.679000	0.25	26.128403
1.683167	0.25	32.159880
1.687333	0.25	35.225688
1.691500	0.25	35.387034
1.695667	0.25	32.838270
1.699833	0.25	27.950632
1.704000	0.25	21.154921
1.708167	0.25	12.888523
1.712333	0.25	3.636160
1.716500	0.25	-6.175538
1.720667	0.25	-16.174539
1.724833	0.25	-26.059517
1.729000	0.25	-35.564657
1.733167	0.25	-44.522547
1.737333	0.25	-52.798208
1.741500	0.25	-60.333745
1.745667	0.25	-67.105122
1.749833	0.25	-73.113050
1.754000	0.25	-78.385767
1.758167	0.25	-82.983254
1.762333	0.25	-86.959081
1.766500	0.25	-90.399426
1.770667	0.25	-93.345986
1.774833	0.25	-95.880219
1.779000	0.25	-98.045278
1.783167	0.25	-99.901132
1.787333	0.25	-101.488747
1.791500	0.25	-102.841777
1.795667	0.25	-104.008748
1.799833	0.25	-104.997003
