File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/701.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_75
Injection Number	61
Position	RE12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	07:17:22
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.649066
Signal Max.	12.462138
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.004000	n.a.	-111.958951
0.008167	0.25	-111.961935
0.012333	0.25	-111.960817
0.016500	0.25	-111.967178
0.020667	0.25	-111.959362
0.024833	0.25	-111.960824
0.029000	0.25	-111.960898
0.033167	0.25	-111.966411
0.037333	0.25	-111.962082
0.041500	0.25	-111.964848
0.045667	0.25	-111.965145
0.049833	0.25	-111.965300
0.054000	0.25	-111.966839
0.058167	0.25	-111.964483
0.062333	0.25	-111.957618
0.066500	0.25	-111.969410
0.070667	0.25	-111.966296
0.074833	0.25	-111.965080
0.079000	0.25	-111.961071
0.083167	0.25	-111.968569
0.087333	0.25	-111.967654
0.091500	0.25	-111.966340
0.095667	0.25	-111.971090
0.099833	0.25	-111.964439
0.104000	0.25	-111.961181
0.108167	0.25	-111.955357
0.112333	0.25	-111.953171
0.116500	0.25	-111.958383
0.120667	0.25	-111.960106
0.124833	0.25	-111.960392
0.129000	0.25	-111.962476
0.133167	0.25	-111.957771
0.137333	0.25	-111.960073
0.141500	0.25	-111.963839
0.145667	0.25	-111.963188
0.149833	0.25	-111.957797
0.154000	0.25	-111.965196
0.158167	0.25	-111.966703
0.162333	0.25	-111.967423
0.166500	0.25	-111.963402
0.170667	0.25	-111.959058
0.174833	0.25	-111.974270
0.179000	0.25	-111.955438
0.183167	0.25	-111.971628
0.187333	0.25	-111.969473
0.191500	0.25	-111.965600
0.195667	0.25	-111.977104
0.199833	0.25	-111.978780
0.204000	0.25	-111.971941
0.208167	0.25	-111.971315
0.212333	0.25	-111.966351
0.216500	0.25	-111.975726
0.220667	0.25	-111.972689
0.224833	0.25	-111.972695
0.229000	0.25	-111.974464
0.233167	0.25	-111.973249
0.237333	0.25	-111.963891
0.241500	0.25	-111.968252
0.245667	0.25	-111.957291
0.249833	0.25	-111.960582
0.254000	0.25	-111.965341
0.258167	0.25	-111.964349
0.262333	0.25	-111.961216
0.266500	0.25	-111.958032
0.270667	0.25	-111.958550
0.274833	0.25	-111.961491
0.279000	0.25	-111.954936
0.283167	0.25	-111.955229
0.287333	0.25	-111.954185
0.291500	0.25	-111.965280
0.295667	0.25	-111.957368
0.299833	0.25	-111.970300
0.304000	0.25	-111.959619
0.308167	0.25	-111.960626
0.312333	0.25	-111.971442
0.316500	0.25	-111.962190
0.320667	0.25	-111.965525
0.324833	0.25	-111.966584
0.329000	0.25	-111.971051
0.333167	0.25	-111.972930
0.337333	0.25	-111.962248
0.341500	0.25	-111.968483
0.345667	0.25	-111.978193
0.349833	0.25	-111.963925
0.354000	0.25	-111.965837
0.358167	0.25	-111.969048
0.362333	0.25	-111.969189
0.366500	0.25	-111.962298
0.370667	0.25	-111.961716
0.374833	0.25	-111.974903
0.379000	0.25	-111.964802
0.383167	0.25	-111.974872
0.387333	0.25	-111.973677
0.391500	0.25	-111.977112
0.395667	0.25	-111.976116
0.399833	0.25	-111.978272
0.404000	0.25	-111.970673
0.408167	0.25	-111.975754
0.412333	0.25	-111.973275
0.416500	0.25	-111.982061
0.420667	0.25	-111.980791
0.424833	0.25	-111.988106
0.429000	0.25	-111.987793
0.433167	0.25	-111.978034
0.437333	0.25	-111.985062
0.441500	0.25	-111.990315
0.445667	0.25	-111.983855
0.449833	0.25	-111.982570
0.454000	0.25	-111.982103
0.458167	0.25	-111.984995
0.462333	0.25	-111.986123
0.466500	0.25	-111.988271
0.470667	0.25	-111.972689
0.474833	0.25	-111.972317
0.479000	0.25	-111.976243
0.483167	0.25	-111.982193
0.487333	0.25	-111.966249
0.491500	0.25	-111.973896
0.495667	0.25	-111.982272
0.499833	0.25	-111.979191
0.504000	0.25	-111.977151
0.508167	0.25	-111.974699
0.512333	0.25	-111.979294
0.516500	0.25	-111.976052
0.520667	0.25	-111.980784
0.524833	0.25	-111.983203
0.529000	0.25	-111.976098
0.533167	0.25	-111.977040
0.537333	0.25	-111.977565
0.541500	0.25	-111.976254
0.545667	0.25	-111.979982
0.549833	0.25	-111.974082
0.554000	0.25	-111.977694
0.558167	0.25	-111.978173
0.562333	0.25	-111.984590
0.566500	0.25	-111.976799
0.570667	0.25	-111.975871
0.574833	0.25	-111.973933
0.579000	0.25	-111.981612
0.583167	0.25	-111.975377
0.587333	0.25	-111.982064
0.591500	0.25	-111.968591
0.595667	0.25	-111.967050
0.599833	0.25	-111.960861
0.604000	0.25	-111.950024
0.608167	0.25	-111.947169
0.612333	0.25	-111.937002
0.616500	0.25	-111.923349
0.620667	0.25	-111.894202
0.624833	0.25	-111.844140
0.629000	0.25	-111.778423
0.633167	0.25	-111.675556
0.637333	0.25	-111.500569
0.641500	0.25	-111.215863
0.645667	0.25	-110.733857
0.649833	0.25	-109.986059
0.654000	0.25	-108.963220
0.658167	0.25	-107.660502
0.662333	0.25	-106.181671
0.666500	0.25	-104.647432
0.670667	0.25	-103.203118
0.674833	0.25	-101.986855
0.679000	0.25	-101.053563
0.683167	0.25	-100.459646
0.687333	0.25	-100.214162
0.691500	0.25	-100.273078
0.695667	0.25	-100.612400
0.699833	0.25	-101.141373
0.704000	0.25	-101.746265
0.708167	0.25	-102.363735
0.712333	0.25	-102.942411
0.716500	0.25	-103.465874
0.720667	0.25	-103.941795
0.724833	0.25	-104.370999
0.729000	0.25	-104.800423
0.733167	0.25	-105.211647
0.737333	0.25	-105.622032
0.741500	0.25	-106.022388
0.745667	0.25	-106.406768
0.749833	0.25	-106.766758
0.754000	0.25	-107.100328
0.758167	0.25	-107.409247
0.762333	0.25	-107.681557
0.766500	0.25	-107.915727
0.770667	0.25	-108.133812
0.774833	0.25	-108.322362
0.779000	0.25	-108.476765
0.783167	0.25	-108.599022
0.787333	0.25	-108.688640
0.791500	0.25	-108.772414
0.795667	0.25	-108.841407
0.799833	0.25	-108.894279
0.804000	0.25	-108.956249
0.808167	0.25	-109.005458
0.812333	0.25	-109.062520
0.816500	0.25	-109.149431
0.820667	0.25	-109.238734
0.824833	0.25	-109.350209
0.829000	0.25	-109.483988
0.833167	0.25	-109.629793
0.837333	0.25	-109.777752
0.841500	0.25	-109.932160
0.845667	0.25	-110.074433
0.849833	0.25	-110.221879
0.854000	0.25	-110.350938
0.858167	0.25	-110.473030
0.862333	0.25	-110.593533
0.866500	0.25	-110.698379
0.870667	0.25	-110.781972
0.874833	0.25	-110.861336
0.879000	0.25	-110.913212
0.883167	0.25	-110.928085
0.887333	0.25	-110.907884
0.891500	0.25	-110.866910
0.895667	0.25	-110.780325
0.899833	0.25	-110.687352
0.904000	0.25	-110.609176
0.908167	0.25	-110.553008
0.912333	0.25	-110.536207
0.916500	0.25	-110.583883
0.920667	0.25	-110.653602
0.924833	0.25	-110.762677
0.929000	0.25	-110.883984
0.933167	0.25	-111.011840
0.937333	0.25	-111.128288
0.941500	0.25	-111.233240
0.945667	0.25	-111.320621
0.949833	0.25	-111.382442
0.954000	0.25	-111.432757
0.958167	0.25	-111.476140
0.962333	0.25	-111.499996
0.966500	0.25	-111.487651
0.970667	0.25	-111.392418
0.974833	0.25	-111.132531
0.979000	0.25	-110.647220
0.983167	0.25	-109.866907
0.987333	0.25	-108.803255
0.991500	0.25	-107.512141
0.995667	0.25	-106.101221
0.999833	0.25	-104.698893
1.004000	0.25	-103.472483
1.008167	0.25	-102.514734
1.012333	0.25	-101.894672
1.016500	0.25	-101.624605
1.020667	0.25	-101.697813
1.024833	0.25	-102.055796
1.029000	0.25	-102.618347
1.033167	0.25	-103.341228
1.037333	0.25	-104.144075
1.041500	0.25	-104.980001
1.045667	0.25	-105.786759
1.049833	0.25	-106.543072
1.054000	0.25	-107.195128
1.058167	0.25	-107.745392
1.062333	0.25	-108.206941
1.066500	0.25	-108.543969
1.070667	0.25	-108.805775
1.074833	0.25	-109.020759
1.079000	0.25	-109.192868
1.083167	0.25	-109.356102
1.087333	0.25	-109.501759
1.091500	0.25	-109.631038
1.095667	0.25	-109.786790
1.099833	0.25	-109.922223
1.104000	0.25	-110.071917
1.108167	0.25	-110.212887
1.112333	0.25	-110.362420
1.116500	0.25	-110.496919
1.120667	0.25	-110.637475
1.124833	0.25	-110.755767
1.129000	0.25	-110.857161
1.133167	0.25	-110.949387
1.137333	0.25	-111.029292
1.141500	0.25	-111.078293
1.145667	0.25	-111.115890
1.149833	0.25	-111.144701
1.154000	0.25	-111.164273
1.158167	0.25	-111.163927
1.162333	0.25	-111.175208
1.166500	0.25	-111.182838
1.170667	0.25	-111.183795
1.174833	0.25	-111.202887
1.179000	0.25	-111.220908
1.183167	0.25	-111.246032
1.187333	0.25	-111.275344
1.191500	0.25	-111.302149
1.195667	0.25	-111.338407
1.199833	0.25	-111.362876
1.204000	0.25	-111.370452
1.208167	0.25	-111.380473
1.212333	0.25	-111.390628
1.216500	0.25	-111.389593
1.220667	0.25	-111.382192
1.224833	0.25	-111.380976
1.229000	0.25	-111.375601
1.233167	0.25	-111.350475
1.237333	0.25	-111.346166
1.241500	0.25	-111.337358
1.245667	0.25	-111.332305
1.249833	0.25	-111.311834
1.254000	0.25	-111.281932
1.258167	0.25	-111.231868
1.262333	0.25	-111.142760
1.266500	0.25	-111.004612
1.270667	0.25	-110.819939
1.274833	0.25	-110.583788
1.279000	0.25	-110.310488
1.283167	0.25	-110.032039
1.287333	0.25	-109.757467
1.291500	0.25	-109.496336
1.295667	0.25	-109.278747
1.299833	0.25	-109.134305
1.304000	0.25	-109.024098
1.308167	0.25	-108.982141
1.312333	0.25	-108.999296
1.316500	0.25	-109.062993
1.320667	0.25	-109.165490
1.324833	0.25	-109.305753
1.329000	0.25	-109.466438
1.333167	0.25	-109.656437
1.337333	0.25	-109.836066
1.341500	0.25	-110.031918
1.345667	0.25	-110.208648
1.349833	0.25	-110.400850
1.354000	0.25	-110.576177
1.358167	0.25	-110.734766
1.362333	0.25	-110.871222
1.366500	0.25	-110.988008
1.370667	0.25	-111.087190
1.374833	0.25	-111.162399
1.379000	0.25	-111.236796
1.383167	0.25	-111.274063
1.387333	0.25	-111.297161
1.391500	0.25	-111.314948
1.395667	0.25	-111.330969
1.399833	0.25	-111.347700
1.404000	0.25	-111.351344
1.408167	0.25	-111.359792
1.412333	0.25	-111.395100
1.416500	0.25	-111.410314
1.420667	0.25	-111.438002
1.424833	0.25	-111.456518
1.429000	0.25	-111.486305
1.433167	0.25	-111.516740
1.437333	0.25	-111.531633
1.441500	0.25	-111.561353
1.445667	0.25	-111.583045
1.449833	0.25	-111.599527
1.454000	0.25	-111.610915
1.458167	0.25	-111.626881
1.462333	0.25	-111.633128
1.466500	0.25	-111.637118
1.470667	0.25	-111.645770
1.474833	0.25	-111.642423
1.479000	0.25	-111.667102
1.483167	0.25	-111.682959
1.487333	0.25	-111.692870
1.491500	0.25	-111.708705
1.495667	0.25	-111.711322
1.499833	0.25	-111.712286
1.504000	0.25	-111.728749
1.508167	0.25	-111.725458
1.512333	0.25	-111.742904
1.516500	0.25	-111.746239
1.520667	0.25	-111.735950
1.524833	0.25	-111.748716
1.529000	0.25	-111.744970
1.533167	0.25	-111.743356
1.537333	0.25	-111.744169
1.541500	0.25	-111.739361
1.545667	0.25	-111.739452
1.549833	0.25	-111.733017
1.554000	0.25	-111.729942
1.558167	0.25	-111.738657
1.562333	0.25	-111.728396
1.566500	0.25	-111.737488
1.570667	0.25	-111.732506
1.574833	0.25	-111.741101
1.579000	0.25	-111.747561
1.583167	0.25	-111.747860
1.587333	0.25	-111.742708
1.591500	0.25	-111.753198
1.595667	0.25	-111.754531
1.599833	0.25	-111.750476
1.604000	0.25	-111.725976
1.608167	0.25	-111.691512
1.612333	0.25	-111.616215
1.616500	0.25	-111.492536
1.620667	0.25	-111.236388
1.624833	0.25	-110.751851
1.629000	0.25	-109.872540
1.633167	0.25	-108.345253
1.637333	0.25	-105.855216
1.641500	0.25	-102.067578
1.645667	0.25	-96.693954
1.649833	0.25	-89.559584
1.654000	0.25	-80.665066
1.658167	0.25	-70.129650
1.662333	0.25	-58.325735
1.666500	0.25	-45.774177
1.670667	0.25	-33.087175
1.674833	0.25	-20.947060
1.679000	0.25	-10.024915
