File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/831.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_25
Injection Number	54
Position	RE4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	03:05:15
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-113.267702
Signal Max.	15.523708
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.629000	0.25	-112.415269
0.633167	0.25	-112.328278
0.637333	0.25	-112.183941
0.641500	0.25	-111.958244
0.645667	0.25	-111.568326
0.649833	0.25	-110.918230
0.654000	0.25	-110.002046
0.658167	0.25	-108.781671
0.662333	0.25	-107.348198
0.666500	0.25	-105.801321
0.670667	0.25	-104.303793
0.674833	0.25	-102.966050
0.679000	0.25	-101.915407
0.683167	0.25	-101.173856
0.687333	0.25	-100.782838
0.691500	0.25	-100.724712
0.695667	0.25	-100.957977
0.699833	0.25	-101.406310
0.704000	0.25	-101.968884
0.708167	0.25	-102.561774
0.712333	0.25	-103.130825
0.716500	0.25	-103.631381
0.720667	0.25	-104.084475
0.724833	0.25	-104.497280
0.729000	0.25	-104.905652
0.733167	0.25	-105.319474
0.737333	0.25	-105.734485
0.741500	0.25	-106.165518
0.745667	0.25	-106.578575
0.749833	0.25	-106.982136
0.754000	0.25	-107.353112
0.758167	0.25	-107.704766
0.762333	0.25	-108.016224
0.766500	0.25	-108.299519
0.770667	0.25	-108.549744
0.774833	0.25	-108.764371
0.779000	0.25	-108.944232
0.783167	0.25	-109.103706
0.787333	0.25	-109.225547
0.791500	0.25	-109.339285
0.795667	0.25	-109.420792
0.799833	0.25	-109.497571
0.804000	0.25	-109.544860
0.808167	0.25	-109.599726
0.812333	0.25	-109.659330
0.816500	0.25	-109.718901
0.820667	0.25	-109.799944
0.824833	0.25	-109.904186
0.829000	0.25	-110.016372
0.833167	0.25	-110.153553
0.837333	0.25	-110.307779
0.841500	0.25	-110.443116
0.845667	0.25	-110.583047
