File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/465.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_74
Injection Number	73
Position	RF12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	14:29:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-111.987030
Signal Max.	-11.722266
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.629000	0.25	-111.099252
0.633167	0.25	-111.002467
0.637333	0.25	-110.871947
0.641500	0.25	-110.647973
0.645667	0.25	-110.269463
0.649833	0.25	-109.671308
0.654000	0.25	-108.830696
0.658167	0.25	-107.758246
0.662333	0.25	-106.531005
0.666500	0.25	-105.243781
0.670667	0.25	-104.031386
0.674833	0.25	-103.001363
0.679000	0.25	-102.206489
0.683167	0.25	-101.685673
0.687333	0.25	-101.438952
0.691500	0.25	-101.468490
0.695667	0.25	-101.712458
0.699833	0.25	-102.146504
0.704000	0.25	-102.688314
0.708167	0.25	-103.271120
0.712333	0.25	-103.871827
0.716500	0.25	-104.446804
0.720667	0.25	-104.984056
0.724833	0.25	-105.472914
0.729000	0.25	-105.902091
0.733167	0.25	-106.304151
0.737333	0.25	-106.635094
0.741500	0.25	-106.911267
0.745667	0.25	-107.142005
0.749833	0.25	-107.328953
0.754000	0.25	-107.486538
0.758167	0.25	-107.612201
0.762333	0.25	-107.727688
0.766500	0.25	-107.834891
0.770667	0.25	-107.941477
0.774833	0.25	-108.053157
0.779000	0.25	-108.156441
0.783167	0.25	-108.255476
0.787333	0.25	-108.341409
0.791500	0.25	-108.420029
0.795667	0.25	-108.488241
0.799833	0.25	-108.561450
0.804000	0.25	-108.621592
0.808167	0.25	-108.683702
0.812333	0.25	-108.743460
0.816500	0.25	-108.811968
0.820667	0.25	-108.903675
0.824833	0.25	-108.988064
0.829000	0.25	-109.086828
0.833167	0.25	-109.203930
0.837333	0.25	-109.321445
0.841500	0.25	-109.452248
0.845667	0.25	-109.578725
0.849833	0.25	-109.685339
0.854000	0.25	-109.811731
0.858167	0.25	-109.912774
0.862333	0.25	-110.013915
0.866500	0.25	-110.117535
0.870667	0.25	-110.198886
0.874833	0.25	-110.256764
0.879000	0.25	-110.311124
0.883167	0.25	-110.326160
0.887333	0.25	-110.306849
0.891500	0.25	-110.259720
0.895667	0.25	-110.179496
0.899833	0.25	-110.090882
0.904000	0.25	-110.026481
0.908167	0.25	-109.983015
0.912333	0.25	-109.979733
0.916500	0.25	-110.031752
0.920667	0.25	-110.108944
0.924833	0.25	-110.224429
0.929000	0.25	-110.356897
0.933167	0.25	-110.485197
0.937333	0.25	-110.601162
0.941500	0.25	-110.703359
0.945667	0.25	-110.773489
0.949833	0.25	-110.844097
0.954000	0.25	-110.887129
0.958167	0.25	-110.920960
0.962333	0.25	-110.933379
0.966500	0.25	-110.884872
0.970667	0.25	-110.750300
0.974833	0.25	-110.450224
0.979000	0.25	-109.943392
0.983167	0.25	-109.201857
0.987333	0.25	-108.229015
0.991500	0.25	-107.132275
0.995667	0.25	-105.980703
0.999833	0.25	-104.913674
1.004000	0.25	-104.028400
1.008167	0.25	-103.389119
1.012333	0.25	-103.038553
1.016500	0.25	-102.957529
1.020667	0.25	-103.132137
1.024833	0.25	-103.512657
1.029000	0.25	-104.040585
1.033167	0.25	-104.657012
1.037333	0.25	-105.299126
1.041500	0.25	-105.942129
1.045667	0.25	-106.527048
1.049833	0.25	-107.045521
1.054000	0.25	-107.469476
1.058167	0.25	-107.794628
1.062333	0.25	-108.043652
1.066500	0.25	-108.224580
1.070667	0.25	-108.380656
1.074833	0.25	-108.506304
1.079000	0.25	-108.628768
1.083167	0.25	-108.746062
1.087333	0.25	-108.882522
1.091500	0.25	-109.024638
1.095667	0.25	-109.172817
1.099833	0.25	-109.337903
1.104000	0.25	-109.495764
1.108167	0.25	-109.658606
1.112333	0.25	-109.802826
1.116500	0.25	-109.931979
1.120667	0.25	-110.055638
1.124833	0.25	-110.169598
1.129000	0.25	-110.254880
1.133167	0.25	-110.322757
1.137333	0.25	-110.372879
1.141500	0.25	-110.414232
1.145667	0.25	-110.444453
1.149833	0.25	-110.459873
1.154000	0.25	-110.480030
1.158167	0.25	-110.470282
1.162333	0.25	-110.475945
1.166500	0.25	-110.474112
1.170667	0.25	-110.497572
1.174833	0.25	-110.524616
1.179000	0.25	-110.536708
1.183167	0.25	-110.548180
1.187333	0.25	-110.585858
1.191500	0.25	-110.614879
1.195667	0.25	-110.634957
1.199833	0.25	-110.661836
1.204000	0.25	-110.677770
1.208167	0.25	-110.675847
1.212333	0.25	-110.683976
1.216500	0.25	-110.684765
1.220667	0.25	-110.677778
1.224833	0.25	-110.670822
1.229000	0.25	-110.668496
1.233167	0.25	-110.665528
1.237333	0.25	-110.645628
1.241500	0.25	-110.618933
1.245667	0.25	-110.591702
1.249833	0.25	-110.541337
1.254000	0.25	-110.436324
1.258167	0.25	-110.302309
1.262333	0.25	-110.129390
1.266500	0.25	-109.894418
1.270667	0.25	-109.639847
1.274833	0.25	-109.350975
1.279000	0.25	-109.086452
1.283167	0.25	-108.834321
1.287333	0.25	-108.629158
1.291500	0.25	-108.457808
1.295667	0.25	-108.365900
1.299833	0.25	-108.314590
1.304000	0.25	-108.322399
1.308167	0.25	-108.385902
1.312333	0.25	-108.488165
1.316500	0.25	-108.628931
1.320667	0.25	-108.803845
1.324833	0.25	-108.985921
1.329000	0.25	-109.177707
1.333167	0.25	-109.364494
1.337333	0.25	-109.552628
1.341500	0.25	-109.726209
1.345667	0.25	-109.884071
1.349833	0.25	-110.042402
1.354000	0.25	-110.175372
1.358167	0.25	-110.302311
1.362333	0.25	-110.405777
1.366500	0.25	-110.492864
1.370667	0.25	-110.560084
1.374833	0.25	-110.606084
1.379000	0.25	-110.647163
1.383167	0.25	-110.677848
1.387333	0.25	-110.687013
1.391500	0.25	-110.714973
1.395667	0.25	-110.719027
1.399833	0.25	-110.727978
1.404000	0.25	-110.750030
1.408167	0.25	-110.766245
1.412333	0.25	-110.789230
1.416500	0.25	-110.803047
1.420667	0.25	-110.822905
1.424833	0.25	-110.853968
1.429000	0.25	-110.874160
1.433167	0.25	-110.889905
1.437333	0.25	-110.900079
1.441500	0.25	-110.909777
1.445667	0.25	-110.924609
1.449833	0.25	-110.939486
1.454000	0.25	-110.948302
1.458167	0.25	-110.957213
1.462333	0.25	-110.963714
1.466500	0.25	-110.959259
1.470667	0.25	-110.969547
1.474833	0.25	-110.975320
1.479000	0.25	-110.993312
1.483167	0.25	-111.002219
1.487333	0.25	-111.006956
1.491500	0.25	-111.021298
1.495667	0.25	-111.023198
1.499833	0.25	-111.031928
1.504000	0.25	-111.032872
1.508167	0.25	-111.042464
1.512333	0.25	-111.039463
1.516500	0.25	-111.042863
1.520667	0.25	-111.042160
1.524833	0.25	-111.050487
1.529000	0.25	-111.043443
1.533167	0.25	-111.037876
1.537333	0.25	-111.033761
1.541500	0.25	-111.030504
1.545667	0.25	-111.033842
1.549833	0.25	-111.034909
1.554000	0.25	-111.027919
1.558167	0.25	-111.024712
1.562333	0.25	-111.031339
1.566500	0.25	-111.032907
1.570667	0.25	-111.041520
1.574833	0.25	-111.040917
1.579000	0.25	-111.035310
1.583167	0.25	-111.045618
1.587333	0.25	-111.040506
1.591500	0.25	-111.036041
1.595667	0.25	-111.024254
1.599833	0.25	-110.997000
1.604000	0.25	-110.925330
1.608167	0.25	-110.807182
1.612333	0.25	-110.574095
1.616500	0.25	-110.139177
1.620667	0.25	-109.332207
1.624833	0.25	-107.965325
1.629000	0.25	-105.786600
1.633167	0.25	-102.508704
1.637333	0.25	-97.971553
1.641500	0.25	-92.047377
1.645667	0.25	-84.784956
1.649833	0.25	-76.336018
1.654000	0.25	-66.988010
1.658167	0.25	-57.141362
1.662333	0.25	-47.261444
1.666500	0.25	-37.840234
1.670667	0.25	-29.364085
1.674833	0.25	-22.253374
1.679000	0.25	-16.832013
1.683167	0.25	-13.295233
1.687333	0.25	-11.722266
1.691500	0.25	-12.039535
1.695667	0.25	-14.092133
1.699833	0.25	-17.633074
1.704000	0.25	-22.377585
1.708167	0.25	-28.016570
1.712333	0.25	-34.278816
1.716500	0.25	-40.861795
1.720667	0.25	-47.532750
1.724833	0.25	-54.109507
1.729000	0.25	-60.413562
1.733167	0.25	-66.347577
1.737333	0.25	-71.829376
1.741500	0.25	-76.829473
1.745667	0.25	-81.314836
1.749833	0.25	-85.310985
1.754000	0.25	-88.822780
1.758167	0.25	-91.890460
1.762333	0.25	-94.546887
1.766500	0.25	-96.848471
1.770667	0.25	-98.837805
1.774833	0.25	-100.537010
1.779000	0.25	-101.995555
1.783167	0.25	-103.254103
1.787333	0.25	-104.325334
1.791500	0.25	-105.241604
1.795667	0.25	-106.010578
1.799833	0.25	-106.684675
1.804000	0.25	-107.240874
1.808167	0.25	-107.718821
1.812333	0.25	-108.133776
1.816500	0.25	-108.468946
1.820667	0.25	-108.764652
1.824833	0.25	-109.010560
1.829000	0.25	-109.222671
1.833167	0.25	-109.398219
1.837333	0.25	-109.555186
1.841500	0.25	-109.689218
1.845667	0.25	-109.797096
1.849833	0.25	-109.891744
1.854000	0.25	-109.999599
1.858167	0.25	-110.066456
1.862333	0.25	-110.148077
1.866500	0.25	-110.219436
1.870667	0.25	-110.282662
1.874833	0.25	-110.340472
1.879000	0.25	-110.395186
1.883167	0.25	-110.445825
1.887333	0.25	-110.493948
1.891500	0.25	-110.528217
1.895667	0.25	-110.569210
1.899833	0.25	-110.618472
1.904000	0.25	-110.657501
1.908167	0.25	-110.680353
1.912333	0.25	-110.717811
1.916500	0.25	-110.740459
1.920667	0.25	-110.772722
1.924833	0.25	-110.801384
1.929000	0.25	-110.825686
1.933167	0.25	-110.849014
1.937333	0.25	-110.861718
1.941500	0.25	-110.884235
1.945667	0.25	-110.909926
1.949833	0.25	-110.918701
1.954000	0.25	-110.931706
1.958167	0.25	-110.942785
1.962333	0.25	-110.956376
1.966500	0.25	-110.960563
1.970667	0.25	-110.976730
