File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.629000	0.25	-114.419405
0.633167	0.25	-114.338573
0.637333	0.25	-114.223757
0.641500	0.25	-114.018784
0.645667	0.25	-113.661979
0.649833	0.25	-113.093744
0.654000	0.25	-112.284181
0.658167	0.25	-111.204653
0.662333	0.25	-109.961731
0.666500	0.25	-108.635836
0.670667	0.25	-107.374511
0.674833	0.25	-106.254212
0.679000	0.25	-105.362325
0.683167	0.25	-104.714177
0.687333	0.25	-104.317475
0.691500	0.25	-104.182478
0.695667	0.25	-104.253631
0.699833	0.25	-104.498211
0.704000	0.25	-104.868394
0.708167	0.25	-105.309113
0.712333	0.25	-105.781063
0.716500	0.25	-106.267401
0.720667	0.25	-106.729102
0.724833	0.25	-107.178992
0.729000	0.25	-107.621291
0.733167	0.25	-108.024028
0.737333	0.25	-108.414298
0.741500	0.25	-108.769922
0.745667	0.25	-109.100226
0.749833	0.25	-109.386290
0.754000	0.25	-109.651397
0.758167	0.25	-109.902198
0.762333	0.25	-110.125199
0.766500	0.25	-110.333082
0.770667	0.25	-110.532657
0.774833	0.25	-110.751430
0.779000	0.25	-110.968576
0.783167	0.25	-111.193702
0.787333	0.25	-111.424317
0.791500	0.25	-111.633392
0.795667	0.25	-111.787667
0.799833	0.25	-111.918156
0.804000	0.25	-112.015280
0.808167	0.25	-112.071156
0.812333	0.25	-112.108702
0.816500	0.25	-112.142261
0.820667	0.25	-112.174432
0.824833	0.25	-112.227544
0.829000	0.25	-112.289869
0.833167	0.25	-112.360804
0.837333	0.25	-112.462688
0.841500	0.25	-112.567763
0.845667	0.25	-112.675576
0.849833	0.25	-112.791404
0.854000	0.25	-112.899435
0.858167	0.25	-113.011260
0.862333	0.25	-113.121276
0.866500	0.25	-113.226783
0.870667	0.25	-113.321375
0.874833	0.25	-113.397492
0.879000	0.25	-113.458660
0.883167	0.25	-113.487682
0.887333	0.25	-113.477788
0.891500	0.25	-113.417971
0.895667	0.25	-113.339898
0.899833	0.25	-113.242950
0.904000	0.25	-113.139734
0.908167	0.25	-113.054359
