File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.629000	0.25	-111.972482
0.633167	0.25	-111.894640
0.637333	0.25	-111.759548
0.641500	0.25	-111.547394
0.645667	0.25	-111.164924
0.649833	0.25	-110.562763
0.654000	0.25	-109.672933
0.658167	0.25	-108.494937
0.662333	0.25	-107.084337
0.666500	0.25	-105.565014
0.670667	0.25	-104.065527
0.674833	0.25	-102.716774
0.679000	0.25	-101.624788
0.683167	0.25	-100.849497
0.687333	0.25	-100.415840
0.691500	0.25	-100.306188
0.695667	0.25	-100.512294
0.699833	0.25	-100.947410
0.704000	0.25	-101.497947
0.708167	0.25	-102.105273
0.712333	0.25	-102.704425
0.716500	0.25	-103.244443
0.720667	0.25	-103.744715
0.724833	0.25	-104.194078
0.729000	0.25	-104.636337
0.733167	0.25	-105.051166
0.737333	0.25	-105.494598
0.741500	0.25	-105.936277
0.745667	0.25	-106.350987
0.749833	0.25	-106.748144
0.754000	0.25	-107.119107
0.758167	0.25	-107.444483
0.762333	0.25	-107.743299
0.766500	0.25	-107.996518
0.770667	0.25	-108.225985
0.774833	0.25	-108.421239
0.779000	0.25	-108.588145
0.783167	0.25	-108.729424
0.787333	0.25	-108.828938
0.791500	0.25	-108.930228
0.795667	0.25	-109.001304
0.799833	0.25	-109.067380
0.804000	0.25	-109.117093
0.808167	0.25	-109.156349
0.812333	0.25	-109.205877
0.816500	0.25	-109.256335
0.820667	0.25	-109.320764
0.824833	0.25	-109.415612
0.829000	0.25	-109.522820
0.833167	0.25	-109.654709
0.837333	0.25	-109.791503
0.841500	0.25	-109.943862
0.845667	0.25	-110.086995
0.849833	0.25	-110.229827
0.854000	0.25	-110.370281
0.858167	0.25	-110.500259
0.862333	0.25	-110.627402
0.866500	0.25	-110.742340
0.870667	0.25	-110.847753
0.874833	0.25	-110.947884
0.879000	0.25	-111.015489
0.883167	0.25	-111.064151
0.887333	0.25	-111.069528
0.891500	0.25	-111.040773
0.895667	0.25	-110.975968
0.899833	0.25	-110.901616
0.904000	0.25	-110.822397
0.908167	0.25	-110.742025
0.912333	0.25	-110.697836
0.916500	0.25	-110.713870
0.920667	0.25	-110.770654
0.924833	0.25	-110.878840
0.929000	0.25	-111.001408
0.933167	0.25	-111.137468
0.937333	0.25	-111.264686
0.941500	0.25	-111.383632
0.945667	0.25	-111.478871
0.949833	0.25	-111.561951
0.954000	0.25	-111.619498
0.958167	0.25	-111.677672
0.962333	0.25	-111.710945
0.966500	0.25	-111.719984
0.970667	0.25	-111.693875
0.974833	0.25	-111.535946
0.979000	0.25	-111.206807
0.983167	0.25	-110.599566
0.987333	0.25	-109.687534
0.991500	0.25	-108.496124
0.995667	0.25	-107.112724
0.999833	0.25	-105.656942
1.004000	0.25	-104.286936
1.008167	0.25	-103.121367
1.012333	0.25	-102.267949
1.016500	0.25	-101.762488
1.020667	0.25	-101.617271
1.024833	0.25	-101.793627
1.029000	0.25	-102.238211
1.033167	0.25	-102.883296
1.037333	0.25	-103.641291
1.041500	0.25	-104.465991
1.045667	0.25	-105.301860
1.049833	0.25	-106.084609
1.054000	0.25	-106.822252
1.058167	0.25	-107.445032
1.062333	0.25	-107.966562
1.066500	0.25	-108.402535
1.070667	0.25	-108.750487
1.074833	0.25	-109.020887
1.079000	0.25	-109.243961
1.083167	0.25	-109.428791
1.087333	0.25	-109.593154
1.091500	0.25	-109.740352
1.095667	0.25	-109.902035
1.099833	0.25	-110.054355
1.104000	0.25	-110.206990
1.108167	0.25	-110.354664
1.112333	0.25	-110.500987
1.116500	0.25	-110.639070
1.120667	0.25	-110.760162
1.124833	0.25	-110.884633
1.129000	0.25	-110.997679
1.133167	0.25	-111.090808
1.137333	0.25	-111.163783
